VCN.TO,Daily Ret,Ret Sqd,Est Var,Vol,Est Vol,,,
$25.19,,,,,,,omega,0.00000
$25.15,0.5610%,0.0029%,0.0033%,0.5381%,0.5738%,,,
$25.32,0.6621%,0.0041%,0.0033%,0.6392%,0.5741%,,,
$25.41,0.3468%,0.0010%,0.0034%,0.3238%,0.5843%,,,
$25.55,0.5523%,0.0028%,0.0032%,0.5293%,0.5680%,,,
$25.46,-0.3448%,0.0014%,0.0032%,0.3678%,0.5683%,,,
$25.38,-0.3113%,0.0011%,0.0031%,0.3343%,0.5561%,,,
$24.97,-1.6420%,0.0277%,0.0029%,1.6649%,0.5431%,,,
$24.92,-0.2116%,0.0006%,0.0054%,0.2345%,0.7335%,,,
$24.74,-0.7059%,0.0053%,0.0049%,0.7289%,0.7009%,,,
$24.80,0.2501%,0.0005%,0.0050%,0.2272%,0.7041%,,,
$24.72,-0.3217%,0.0012%,0.0045%,0.3447%,0.6736%,,,
$24.77,0.1788%,0.0002%,0.0042%,0.1559%,0.6504%,,,
$25.02,0.9957%,0.0095%,0.0039%,0.9728%,0.6220%,,,
$24.98,-0.1416%,0.0003%,0.0044%,0.1646%,0.6660%,,,
$24.95,-0.1064%,0.0002%,0.0041%,0.1293%,0.6366%,,,
$25.17,0.8478%,0.0068%,0.0037%,0.8248%,0.6087%,,,
$24.77,-1.5955%,0.0262%,0.0040%,1.6185%,0.6353%,,,
$24.38,-1.5850%,0.0259%,0.0062%,1.6080%,0.7869%,,,
$24.68,1.2270%,0.0145%,0.0081%,1.2041%,0.8979%,,,
$25.02,1.3891%,0.0187%,0.0086%,1.3662%,0.9283%,,,
$25.05,0.1061%,0.0001%,0.0095%,0.0831%,0.9752%,,,
$25.45,1.5776%,0.0242%,0.0085%,1.5546%,0.9224%,,,
$25.37,-0.3135%,0.0011%,0.0099%,0.3365%,0.9971%,,,
$25.41,0.1395%,0.0001%,0.0090%,0.1165%,0.9483%,,,
$25.21,-0.7695%,0.0063%,0.0081%,0.7925%,0.8977%,,,
$25.49,1.1173%,0.0120%,0.0078%,1.0944%,0.8846%,,,
$25.64,0.5885%,0.0032%,0.0082%,0.5656%,0.9038%,,,
$25.85,0.7908%,0.0059%,0.0076%,0.7678%,0.8733%,,,
$25.87,0.1027%,0.0001%,0.0074%,0.0798%,0.8606%,,,
$25.91,0.1367%,0.0001%,0.0067%,0.1138%,0.8157%,,,
$25.86,-0.2052%,0.0005%,0.0060%,0.2282%,0.7743%,,,
$25.95,0.3418%,0.0010%,0.0055%,0.3188%,0.7384%,,,
$25.93,-0.0683%,0.0001%,0.0050%,0.0912%,0.7086%,,,
$25.93,0.0000%,0.0000%,0.0046%,0.0230%,0.6746%,,,
$26.02,0.3408%,0.0010%,0.0041%,0.3179%,0.6425%,,,
$26.06,0.1700%,0.0002%,0.0039%,0.1470%,0.6207%,,,
$25.84,-0.8528%,0.0077%,0.0035%,0.8758%,0.5944%,,,
$25.98,0.5466%,0.0027%,0.0040%,0.5237%,0.6299%,,,
$25.98,0.0000%,0.0000%,0.0039%,0.0230%,0.6227%,,,
$25.99,0.0341%,0.0000%,0.0035%,0.0111%,0.5945%,,,
$26.06,0.2721%,0.0006%,0.0032%,0.2491%,0.5685%,,,
$25.86,-0.7843%,0.0065%,0.0030%,0.8073%,0.5499%,,,
$25.95,0.3759%,0.0012%,0.0034%,0.3529%,0.5838%,,,
$25.96,0.0341%,0.0000%,0.0032%,0.0111%,0.5692%,,,
$26.14,0.6796%,0.0043%,0.0030%,0.6566%,0.5452%,,,
$26.39,0.9438%,0.0085%,0.0032%,0.9208%,0.5613%,,,
$26.47,0.3014%,0.0008%,0.0037%,0.2785%,0.6089%,,,
$26.38,-0.3350%,0.0013%,0.0035%,0.3580%,0.5881%,,,
$26.46,0.3015%,0.0008%,0.0033%,0.2786%,0.5734%,,,
$26.37,-0.3351%,0.0013%,0.0031%,0.3581%,0.5558%,,,
$26.42,0.2012%,0.0003%,0.0030%,0.1782%,0.5442%,,,
$26.34,-0.3020%,0.0011%,0.0028%,0.3249%,0.5251%,,,
$26.29,-0.2018%,0.0005%,0.0026%,0.2248%,0.5146%,,,
$26.30,0.0336%,0.0000%,0.0025%,0.0107%,0.4998%,,,
$26.26,-0.1347%,0.0002%,0.0023%,0.1577%,0.4814%,,,
$26.37,0.4036%,0.0014%,0.0022%,0.3807%,0.4671%,,,
$26.41,0.1677%,0.0002%,0.0022%,0.1447%,0.4667%,,,
$26.18,-0.9090%,0.0087%,0.0021%,0.9319%,0.4534%,,,
$26.16,-0.0677%,0.0001%,0.0028%,0.0906%,0.5256%,,,
$26.20,0.1691%,0.0002%,0.0026%,0.1461%,0.5058%,,,
$26.27,0.2699%,0.0006%,0.0024%,0.2470%,0.4890%,,,
$26.27,0.0000%,0.0000%,0.0023%,0.0230%,0.4777%,,,
$26.10,-0.6761%,0.0049%,0.0021%,0.6991%,0.4612%,,,
$26.30,0.7771%,0.0057%,0.0025%,0.7542%,0.4960%,,,
$26.49,0.7043%,0.0046%,0.0028%,0.6814%,0.5321%,,,
$26.52,0.1336%,0.0001%,0.0031%,0.1106%,0.5530%,,,
$26.52,0.0000%,0.0000%,0.0028%,0.0230%,0.5313%,,,
$26.50,-0.0668%,0.0001%,0.0026%,0.0897%,0.5103%,,,
$26.06,-1.6841%,0.0291%,0.0024%,1.7071%,0.4918%,,,
$26.21,0.5758%,0.0031%,0.0050%,0.5528%,0.7106%,,,
$25.74,-1.8213%,0.0340%,0.0049%,1.8443%,0.6973%,,,
$25.76,0.1038%,0.0001%,0.0077%,0.0808%,0.8759%,,,
$26.01,0.9635%,0.0088%,0.0069%,0.9406%,0.8299%,,,
$25.87,-0.5494%,0.0033%,0.0070%,0.5724%,0.8390%,,,
$26.01,0.5494%,0.0028%,0.0066%,0.5265%,0.8147%,,,
$26.05,0.1369%,0.0001%,0.0062%,0.1139%,0.7897%,,,
$26.34,1.1222%,0.0121%,0.0056%,1.0993%,0.7501%,,,
$26.56,0.8084%,0.0062%,0.0062%,0.7854%,0.7898%,,,
$26.34,-0.8084%,0.0069%,0.0062%,0.8313%,0.7880%,,,
$26.25,-0.3387%,0.0013%,0.0063%,0.3617%,0.7909%,,,
$26.12,-0.5103%,0.0028%,0.0058%,0.5333%,0.7588%,,,
$26.42,1.1530%,0.0128%,0.0055%,1.1300%,0.7393%,,,
$26.50,0.2693%,0.0006%,0.0062%,0.2464%,0.7850%,,,
$26.52,0.1009%,0.0001%,0.0056%,0.0779%,0.7489%,,,
$26.38,-0.5389%,0.0032%,0.0051%,0.5619%,0.7118%,,,
$26.08,-1.1549%,0.0139%,0.0049%,1.1779%,0.6990%,,,
$26.26,0.7149%,0.0048%,0.0058%,0.6919%,0.7588%,,,
$26.25,-0.0339%,0.0000%,0.0057%,0.0569%,0.7519%,,,
$26.16,-0.3740%,0.0016%,0.0051%,0.3969%,0.7144%,,,
$26.19,0.1361%,0.0001%,0.0048%,0.1132%,0.6904%,,,
$26.30,0.4073%,0.0015%,0.0043%,0.3844%,0.6581%,,,
$26.33,0.1016%,0.0001%,0.0041%,0.0786%,0.6384%,,,
$26.24,-0.3390%,0.0013%,0.0037%,0.3619%,0.6095%,,,
$26.23,-0.0340%,0.0000%,0.0035%,0.0569%,0.5930%,,,
$26.52,1.1147%,0.0119%,0.0032%,1.0917%,0.5674%,,,
$26.69,0.6362%,0.0038%,0.0041%,0.6132%,0.6403%,,,
$26.68,-0.0334%,0.0000%,0.0041%,0.0563%,0.6397%,,,
$26.87,0.6987%,0.0046%,0.0037%,0.6758%,0.6104%,,,
$26.85,-0.0663%,0.0001%,0.0038%,0.0893%,0.6196%,,,
$26.75,-0.3656%,0.0015%,0.0035%,0.3886%,0.5923%,,,
$26.62,-0.5008%,0.0027%,0.0034%,0.5237%,0.5791%,,,
$26.74,0.4341%,0.0017%,0.0033%,0.4112%,0.5776%,,,
$26.62,-0.4341%,0.0021%,0.0032%,0.4571%,0.5674%,,,
$26.66,0.1338%,0.0001%,0.0032%,0.1108%,0.5616%,,,
$26.61,-0.1673%,0.0004%,0.0029%,0.1902%,0.5393%,,,
$26.30,-1.1786%,0.0144%,0.0027%,1.2016%,0.5210%,,,
$26.25,-0.2035%,0.0005%,0.0039%,0.2264%,0.6242%,,,
$26.13,-0.4422%,0.0022%,0.0036%,0.4652%,0.6000%,,,
$26.36,0.8826%,0.0074%,0.0035%,0.8596%,0.5914%,,,
$26.41,0.1688%,0.0002%,0.0039%,0.1459%,0.6252%,,,
$26.58,0.6725%,0.0042%,0.0036%,0.6495%,0.5986%,,,
$26.59,0.0335%,0.0000%,0.0037%,0.0105%,0.6066%,,,
$26.23,-1.3830%,0.0198%,0.0034%,1.4060%,0.5796%,,,
$26.35,0.4744%,0.0020%,0.0050%,0.4515%,0.7056%,,,
$26.63,1.0425%,0.0104%,0.0047%,1.0196%,0.6856%,,,
$26.60,-0.1004%,0.0002%,0.0053%,0.1234%,0.7252%,,,
$26.76,0.6010%,0.0033%,0.0048%,0.5780%,0.6905%,,,
$26.84,0.2992%,0.0008%,0.0046%,0.2762%,0.6812%,,,
$27.17,1.2205%,0.0143%,0.0043%,1.1976%,0.6543%,,,
$27.29,0.4253%,0.0016%,0.0053%,0.4024%,0.7259%,,,
$27.26,-0.0980%,0.0001%,0.0049%,0.1209%,0.7012%,,,
$27.26,0.0000%,0.0000%,0.0045%,0.0230%,0.6682%,,,
$27.29,0.0980%,0.0001%,0.0041%,0.0750%,0.6366%,,,
$27.12,-0.6222%,0.0042%,0.0037%,0.6452%,0.6078%,,,
$27.09,-0.0986%,0.0001%,0.0038%,0.1216%,0.6142%,,,
$27.31,0.7861%,0.0058%,0.0035%,0.7632%,0.5879%,,,
$27.20,-0.3923%,0.0017%,0.0037%,0.4152%,0.6101%,,,
$27.25,0.1963%,0.0003%,0.0036%,0.1734%,0.5969%,,,
$27.31,0.1959%,0.0003%,0.0033%,0.1730%,0.5732%,,,
$27.37,0.2281%,0.0004%,0.0030%,0.2052%,0.5515%,,,
$27.57,0.7459%,0.0052%,0.0028%,0.7230%,0.5326%,,,
$27.68,0.3870%,0.0013%,0.0031%,0.3640%,0.5585%,,,
$27.72,0.1287%,0.0001%,0.0030%,0.1057%,0.5470%,,,
$27.66,-0.1931%,0.0005%,0.0028%,0.2160%,0.5258%,,,
$27.88,0.7700%,0.0056%,0.0026%,0.7470%,0.5096%,,,
$27.62,-0.9312%,0.0091%,0.0029%,0.9541%,0.5424%,,,
$27.58,-0.1291%,0.0002%,0.0036%,0.1520%,0.5986%,,,
$27.64,0.2258%,0.0004%,0.0033%,0.2029%,0.5742%,,,
$27.67,0.0967%,0.0001%,0.0031%,0.0737%,0.5534%,,,
$27.72,0.1930%,0.0003%,0.0028%,0.1700%,0.5311%,,,
$27.74,0.0642%,0.0000%,0.0026%,0.0413%,0.5128%,,,
$27.80,0.1925%,0.0003%,0.0024%,0.1695%,0.4935%,,,
$27.79,-0.0320%,0.0000%,0.0023%,0.0550%,0.4785%,,,
$27.86,0.2544%,0.0005%,0.0021%,0.2315%,0.4622%,,,
$27.94,0.2891%,0.0007%,0.0021%,0.2661%,0.4528%,,,
$27.73,-0.7404%,0.0058%,0.0020%,0.7633%,0.4462%,,,
$27.91,0.6441%,0.0039%,0.0024%,0.6212%,0.4930%,,,
$28.14,0.8312%,0.0065%,0.0026%,0.8082%,0.5127%,,,
$28.28,0.4764%,0.0021%,0.0031%,0.4535%,0.5532%,,,
$28.14,-0.5083%,0.0028%,0.0030%,0.5312%,0.5488%,,,
$27.94,-0.7031%,0.0053%,0.0030%,0.7260%,0.5515%,,,
$28.01,0.2562%,0.0005%,0.0033%,0.2333%,0.5748%,,,
$28.12,0.3831%,0.0013%,0.0031%,0.3602%,0.5550%,,,
$28.00,-0.4151%,0.0019%,0.0030%,0.4381%,0.5437%,,,
$28.12,0.4151%,0.0015%,0.0029%,0.3922%,0.5391%,,,
$28.07,-0.1595%,0.0003%,0.0028%,0.1824%,0.5315%,,,
$28.01,-0.2237%,0.0006%,0.0026%,0.2466%,0.5136%,,,
$27.94,-0.2562%,0.0008%,0.0025%,0.2792%,0.4999%,,,
$27.97,0.0962%,0.0001%,0.0024%,0.0732%,0.4892%,,,
$28.23,0.9249%,0.0081%,0.0022%,0.9019%,0.4723%,,,
$28.10,-0.4454%,0.0022%,0.0029%,0.4684%,0.5351%,,,
$28.37,0.9521%,0.0086%,0.0029%,0.9291%,0.5339%,,,
$28.41,0.1578%,0.0002%,0.0035%,0.1348%,0.5881%,,,
$28.36,-0.1894%,0.0005%,0.0032%,0.2124%,0.5641%,,,
$28.28,-0.2848%,0.0009%,0.0030%,0.3077%,0.5445%,,,
$28.00,-0.9871%,0.0102%,0.0028%,1.0101%,0.5310%,,,
$27.96,-0.1601%,0.0003%,0.0036%,0.1831%,0.5985%,,,
$27.97,0.0641%,0.0000%,0.0033%,0.0411%,0.5750%,,,
$27.97,-0.0320%,0.0000%,0.0030%,0.0550%,0.5506%,,,
$28.12,0.5432%,0.0027%,0.0028%,0.5202%,0.5283%,,,
$28.08,-0.1275%,0.0002%,0.0028%,0.1505%,0.5326%,,,
$28.15,0.2549%,0.0005%,0.0026%,0.2320%,0.5136%,,,
$28.23,0.2543%,0.0005%,0.0025%,0.2313%,0.4992%,,,
$28.39,0.5698%,0.0030%,0.0024%,0.5468%,0.4862%,,,
$28.57,0.6607%,0.0041%,0.0025%,0.6377%,0.4987%,,,
$28.64,0.2193%,0.0004%,0.0027%,0.1963%,0.5195%,,,
$28.70,0.2188%,0.0004%,0.0025%,0.1958%,0.5031%,,,
$28.79,0.3117%,0.0008%,0.0024%,0.2888%,0.4882%,,,
$28.83,0.1244%,0.0001%,0.0023%,0.1015%,0.4792%,,,
$28.79,-0.1244%,0.0002%,0.0021%,0.1474%,0.4637%,,,
$28.92,0.4658%,0.0020%,0.0020%,0.4428%,0.4507%,,,
$28.79,-0.4658%,0.0024%,0.0021%,0.4887%,0.4576%,,,
$28.68,-0.3742%,0.0016%,0.0022%,0.3971%,0.4681%,,,
$28.24,-1.5426%,0.0245%,0.0022%,1.5656%,0.4689%,,,
$28.25,0.0317%,0.0000%,0.0044%,0.0088%,0.6640%,,,
$28.04,-0.7641%,0.0062%,0.0040%,0.7870%,0.6327%,,,
$28.39,1.2387%,0.0148%,0.0042%,1.2157%,0.6512%,,,
$28.29,-0.3478%,0.0014%,0.0053%,0.3708%,0.7263%,,,
$28.43,0.5055%,0.0023%,0.0049%,0.4826%,0.7000%,,,
$28.47,0.1260%,0.0001%,0.0047%,0.1030%,0.6826%,,,
$28.43,-0.1260%,0.0002%,0.0042%,0.1489%,0.6507%,,,
$28.24,-0.6640%,0.0047%,0.0039%,0.6870%,0.6221%,,,
$28.23,-0.0317%,0.0000%,0.0040%,0.0547%,0.6310%,,,
$28.23,0.0000%,0.0000%,0.0036%,0.0230%,0.6024%,,,
$28.30,0.2219%,0.0004%,0.0033%,0.1990%,0.5758%,,,
$28.04,-0.9225%,0.0089%,0.0031%,0.9455%,0.5546%,,,
$28.28,0.8592%,0.0070%,0.0037%,0.8362%,0.6072%,,,
$28.37,0.3164%,0.0009%,0.0040%,0.2934%,0.6355%,,,
$28.23,-0.5066%,0.0028%,0.0038%,0.5296%,0.6131%,,,
$28.14,-0.3180%,0.0012%,0.0037%,0.3409%,0.6082%,,,
$27.88,-0.8957%,0.0084%,0.0035%,0.9187%,0.5907%,,,
$27.96,0.2581%,0.0006%,0.0040%,0.2352%,0.6327%,,,
$28.10,0.5143%,0.0024%,0.0037%,0.4914%,0.6081%,,,
$28.15,0.1602%,0.0002%,0.0036%,0.1372%,0.6006%,,,
$28.25,0.3515%,0.0011%,0.0033%,0.3285%,0.5757%,,,
$28.43,0.6676%,0.0042%,0.0031%,0.6447%,0.5605%,,,
$28.56,0.4426%,0.0018%,0.0033%,0.4196%,0.5731%,,,
$28.41,-0.5377%,0.0031%,0.0032%,0.5607%,0.5639%,,,
$28.38,-0.0952%,0.0001%,0.0032%,0.1182%,0.5676%,,,
$28.44,0.2220%,0.0004%,0.0030%,0.1990%,0.5449%,,,
$28.59,0.5055%,0.0023%,0.0028%,0.4826%,0.5264%,,,
$28.55,-0.1419%,0.0003%,0.0028%,0.1649%,0.5275%,,,
$28.66,0.3937%,0.0014%,0.0026%,0.3708%,0.5093%,,,
$28.58,-0.2833%,0.0009%,0.0025%,0.3063%,0.5034%,,,
$28.70,0.4404%,0.0017%,0.0024%,0.4174%,0.4939%,,,
$28.66,-0.1570%,0.0003%,0.0024%,0.1800%,0.4933%,,,
$28.54,-0.4095%,0.0019%,0.0023%,0.4325%,0.4787%,,,
$28.34,-0.6969%,0.0052%,0.0023%,0.7198%,0.4812%,,,
$28.61,0.9176%,0.0080%,0.0027%,0.8946%,0.5152%,,,
$28.49,-0.4103%,0.0019%,0.0032%,0.4333%,0.5679%,,,
$28.33,-0.5709%,0.0035%,0.0031%,0.5938%,0.5603%,,,
$28.50,0.6025%,0.0034%,0.0032%,0.5795%,0.5676%,,,
$28.49,-0.0316%,0.0000%,0.0033%,0.0546%,0.5726%,,,
$28.70,0.7561%,0.0054%,0.0030%,0.7332%,0.5486%,,,
$28.75,0.1568%,0.0002%,0.0033%,0.1339%,0.5732%,,,
$28.58,-0.5972%,0.0038%,0.0030%,0.6202%,0.5503%,,,
$28.29,-1.0140%,0.0108%,0.0032%,1.0369%,0.5617%,,,
$28.47,0.6349%,0.0037%,0.0039%,0.6120%,0.6270%,,,
$28.43,-0.1583%,0.0003%,0.0039%,0.1813%,0.6278%,,,
$28.50,0.2532%,0.0005%,0.0036%,0.2303%,0.6018%,,,
$28.38,-0.4119%,0.0019%,0.0034%,0.4348%,0.5796%,,,
$28.11,-0.9570%,0.0096%,0.0033%,0.9799%,0.5709%,,,
$28.43,1.1156%,0.0119%,0.0039%,1.0926%,0.6255%,,,
$28.58,0.5374%,0.0026%,0.0047%,0.5144%,0.6865%,,,
$28.43,-0.5374%,0.0031%,0.0045%,0.5603%,0.6727%,,,
$28.54,0.4112%,0.0015%,0.0044%,0.3882%,0.6639%,,,
$28.39,-0.5381%,0.0031%,0.0041%,0.5610%,0.6439%,,,
$28.38,-0.0317%,0.0000%,0.0041%,0.0547%,0.6383%,,,
$28.56,0.6329%,0.0037%,0.0037%,0.6100%,0.6091%,,,
$28.41,-0.5377%,0.0031%,0.0037%,0.5607%,0.6119%,,,
$27.91,-1.7598%,0.0318%,0.0037%,1.7827%,0.6098%,,,
$27.91,0.0000%,0.0000%,0.0064%,0.0230%,0.8031%,,,
$28.25,1.1873%,0.0136%,0.0058%,1.1643%,0.7618%,,,
$28.29,0.1593%,0.0002%,0.0065%,0.1364%,0.8085%,,,
$28.17,-0.4149%,0.0019%,0.0059%,0.4378%,0.7679%,,,
$28.15,-0.0640%,0.0001%,0.0055%,0.0869%,0.7416%,,,
$28.15,-0.0320%,0.0000%,0.0050%,0.0550%,0.7051%,,,
$28.16,0.0640%,0.0000%,0.0045%,0.0410%,0.6710%,,,
$28.06,-0.3525%,0.0014%,0.0041%,0.3755%,0.6393%,,,
$28.04,-0.0964%,0.0001%,0.0039%,0.1193%,0.6209%,,,
$28.27,0.8320%,0.0065%,0.0035%,0.8090%,0.5939%,,,
$28.21,-0.2233%,0.0006%,0.0039%,0.2463%,0.6209%,,,
$28.17,-0.1279%,0.0002%,0.0036%,0.1508%,0.5977%,,,
$28.25,0.2874%,0.0007%,0.0033%,0.2644%,0.5733%,,,
$28.11,-0.5115%,0.0029%,0.0031%,0.5345%,0.5550%,,,
$28.16,0.1921%,0.0003%,0.0031%,0.1692%,0.5573%,,,
$28.30,0.4787%,0.0021%,0.0029%,0.4557%,0.5368%,,,
$28.13,-0.6067%,0.0040%,0.0029%,0.6297%,0.5343%,,,
$28.11,-0.0641%,0.0001%,0.0030%,0.0871%,0.5490%,,,
$27.75,-1.2903%,0.0172%,0.0028%,1.3133%,0.5272%,,,
$27.74,-0.0325%,0.0000%,0.0042%,0.0554%,0.6499%,,,
$27.78,0.1298%,0.0001%,0.0038%,0.1069%,0.6199%,,,
$27.92,0.5176%,0.0024%,0.0035%,0.4947%,0.5928%,,,
$27.70,-0.8100%,0.0069%,0.0034%,0.8330%,0.5873%,,,
$27.68,-0.0589%,0.0001%,0.0038%,0.0819%,0.6183%,,,
$27.83,0.5553%,0.0028%,0.0035%,0.5323%,0.5910%,,,
$28.01,0.6493%,0.0039%,0.0035%,0.6264%,0.5889%,,,
$28.02,0.0323%,0.0000%,0.0035%,0.0094%,0.5958%,,,
$28.00,-0.0971%,0.0001%,0.0032%,0.1200%,0.5697%,,,
$28.13,0.4846%,0.0021%,0.0030%,0.4616%,0.5468%,,,
$27.88,-0.9065%,0.0086%,0.0030%,0.9294%,0.5437%,,,
$27.79,-0.3257%,0.0012%,0.0036%,0.3487%,0.5960%,,,
$27.73,-0.1959%,0.0005%,0.0034%,0.2189%,0.5800%,,,
$27.78,0.1633%,0.0002%,0.0031%,0.1404%,0.5593%,,,
$27.61,-0.6220%,0.0042%,0.0029%,0.6450%,0.5377%,,,
$27.51,-0.3619%,0.0015%,0.0031%,0.3849%,0.5536%,,,
$27.70,0.6897%,0.0044%,0.0030%,0.6668%,0.5440%,,,
$27.74,0.1636%,0.0002%,0.0032%,0.1406%,0.5614%,,,
$27.78,0.1306%,0.0001%,0.0029%,0.1077%,0.5398%,,,
$27.74,-0.1306%,0.0002%,0.0027%,0.1536%,0.5191%,,,
$27.84,0.3588%,0.0011%,0.0025%,0.3359%,0.5014%,,,
$27.80,-0.1629%,0.0003%,0.0024%,0.1859%,0.4940%,,,
$27.79,-0.0326%,0.0000%,0.0023%,0.0556%,0.4795%,,,
$27.97,0.6504%,0.0039%,0.0021%,0.6275%,0.4632%,,,
$27.99,0.0648%,0.0000%,0.0024%,0.0419%,0.4884%,,,
$27.84,-0.5197%,0.0029%,0.0022%,0.5426%,0.4711%,,,
$27.76,-0.2935%,0.0010%,0.0024%,0.3164%,0.4853%,,,
$27.91,0.5212%,0.0025%,0.0023%,0.4982%,0.4783%,,,
$27.85,-0.1951%,0.0005%,0.0024%,0.2181%,0.4869%,,,
$27.87,0.0651%,0.0000%,0.0023%,0.0421%,0.4744%,,,
$27.76,-0.3911%,0.0017%,0.0021%,0.4141%,0.4584%,,,
$27.79,0.0979%,0.0001%,0.0021%,0.0750%,0.4617%,,,
$27.89,0.3583%,0.0011%,0.0020%,0.3353%,0.4472%,,,
$27.98,0.3246%,0.0009%,0.0020%,0.3016%,0.4457%,,,
$27.87,-0.3896%,0.0017%,0.0020%,0.4126%,0.4420%,,,
$27.99,0.4220%,0.0016%,0.0020%,0.3991%,0.4473%,,,
$27.97,-0.0648%,0.0001%,0.0020%,0.0878%,0.4508%,,,
$27.90,-0.2597%,0.0008%,0.0019%,0.2826%,0.4375%,,,
$27.63,-0.9470%,0.0094%,0.0019%,0.9699%,0.4335%,,,
$27.59,-0.1642%,0.0004%,0.0027%,0.1871%,0.5173%,,,
$27.73,0.5244%,0.0025%,0.0025%,0.5015%,0.5008%,,,
$27.72,-0.0654%,0.0001%,0.0026%,0.0884%,0.5068%,,,
$27.67,-0.1801%,0.0004%,0.0024%,0.2030%,0.4886%,,,
$27.58,-0.3118%,0.0011%,0.0023%,0.3348%,0.4753%,,,
$27.43,-0.5604%,0.0034%,0.0022%,0.5834%,0.4706%,,,
$27.43,0.0331%,0.0000%,0.0024%,0.0101%,0.4893%,,,
$27.51,0.2640%,0.0006%,0.0022%,0.2411%,0.4718%,,,
$27.65,0.5260%,0.0025%,0.0021%,0.5030%,0.4619%,,,
$27.66,0.0328%,0.0000%,0.0022%,0.0098%,0.4732%,,,
$27.63,-0.0984%,0.0001%,0.0021%,0.1213%,0.4571%,,,
$27.60,-0.1313%,0.0002%,0.0020%,0.1543%,0.4440%,,,
$27.67,0.2625%,0.0006%,0.0019%,0.2395%,0.4331%,,,
$27.78,0.3924%,0.0014%,0.0018%,0.3695%,0.4271%,,,
$27.94,0.5858%,0.0032%,0.0019%,0.5628%,0.4306%,,,
$27.91,-0.1299%,0.0002%,0.0021%,0.1528%,0.4532%,,,
$27.68,-0.8155%,0.0070%,0.0019%,0.8385%,0.4414%,,,
$27.65,-0.0983%,0.0001%,0.0025%,0.1213%,0.5009%,,,
$27.60,-0.1969%,0.0005%,0.0023%,0.2199%,0.4838%,,,
$27.51,-0.3290%,0.0012%,0.0022%,0.3520%,0.4717%,,,
$27.62,0.4275%,0.0016%,0.0022%,0.4046%,0.4686%,,,
$27.82,0.7194%,0.0049%,0.0022%,0.6965%,0.4700%,,,
$27.81,-0.0652%,0.0001%,0.0025%,0.0882%,0.5028%,,,
$27.91,0.3580%,0.0011%,0.0024%,0.3351%,0.4850%,,,
$27.91,0.0000%,0.0000%,0.0023%,0.0230%,0.4792%,,,
$28.03,0.4538%,0.0019%,0.0021%,0.4308%,0.4626%,,,
$28.12,0.3229%,0.0009%,0.0022%,0.2999%,0.4669%,,,
$28.30,0.6112%,0.0035%,0.0021%,0.5882%,0.4608%,,,
$28.44,0.5145%,0.0024%,0.0023%,0.4915%,0.4817%,,,
$28.43,-0.0321%,0.0000%,0.0024%,0.0550%,0.4892%,,,
$28.58,0.5120%,0.0024%,0.0022%,0.4891%,0.4720%,,,
$28.49,-0.3197%,0.0012%,0.0023%,0.3426%,0.4805%,,,
$28.74,0.8926%,0.0076%,0.0023%,0.8696%,0.4758%,,,
$28.82,0.2536%,0.0005%,0.0028%,0.2306%,0.5327%,,,
$28.86,0.1581%,0.0002%,0.0027%,0.1352%,0.5165%,,,
$28.96,0.3471%,0.0011%,0.0025%,0.3241%,0.4985%,,,
$29.02,0.1888%,0.0003%,0.0024%,0.1658%,0.4906%,,,
$29.02,0.0000%,0.0000%,0.0023%,0.0230%,0.4758%,,,
$29.13,0.4079%,0.0015%,0.0021%,0.3849%,0.4595%,,,
$29.03,-0.3450%,0.0014%,0.0021%,0.3680%,0.4603%,,,
$29.12,0.2823%,0.0007%,0.0021%,0.2594%,0.4597%,,,
$29.17,0.1878%,0.0003%,0.0020%,0.1648%,0.4520%,,,
$29.07,-0.3446%,0.0014%,0.0019%,0.3675%,0.4407%,,,
$29.18,0.3758%,0.0012%,0.0020%,0.3529%,0.4424%,,,
$29.18,0.0000%,0.0000%,0.0020%,0.0230%,0.4427%,,,
$29.21,0.0937%,0.0001%,0.0018%,0.0708%,0.4294%,,,
$29.16,-0.1563%,0.0003%,0.0017%,0.1792%,0.4177%,,,
$29.20,0.1250%,0.0001%,0.0017%,0.1021%,0.4104%,,,
$29.28,0.2808%,0.0007%,0.0016%,0.2578%,0.4012%,,,
$29.26,-0.0623%,0.0001%,0.0016%,0.0853%,0.3997%,,,
$29.35,0.3112%,0.0008%,0.0015%,0.2883%,0.3912%,,,
$29.27,-0.2801%,0.0009%,0.0015%,0.3030%,0.3929%,,,
$29.35,0.2801%,0.0007%,0.0016%,0.2571%,0.3955%,,,
$29.46,0.3722%,0.0012%,0.0016%,0.3493%,0.3946%,,,
$29.57,0.3708%,0.0012%,0.0016%,0.3479%,0.4006%,,,
$29.65,0.2465%,0.0005%,0.0016%,0.2235%,0.4057%,,,
$29.65,0.0000%,0.0000%,0.0016%,0.0230%,0.4018%,,,
$29.63,-0.0616%,0.0001%,0.0015%,0.0845%,0.3922%,,,
$29.61,-0.0616%,0.0001%,0.0015%,0.0845%,0.3845%,,,
$29.76,0.5224%,0.0025%,0.0014%,0.4994%,0.3775%,,,
$29.81,0.1531%,0.0002%,0.0016%,0.1302%,0.4013%,,,
$29.78,-0.0918%,0.0001%,0.0016%,0.1148%,0.3938%,,,
$29.76,-0.0919%,0.0001%,0.0015%,0.1149%,0.3866%,,,
