VCN.TO,Daily Ret,Ret Sqd,Est Var,Vol,Est Vol,,,
$25.19,,,,,,,omega,0.00000
$26.74,0.0969%,0.0001%,0.0030%,0.0739%,0.5484%,,,
$26.76,0.0968%,0.0001%,0.0028%,0.0738%,0.5265%,,,
$26.81,0.1933%,0.0003%,0.0026%,0.1703%,0.5064%,,,
$26.81,0.0000%,0.0000%,0.0024%,0.0230%,0.4903%,,,
$26.81,0.0000%,0.0000%,0.0022%,0.0230%,0.4728%,,,
$26.42,-1.4916%,0.0229%,0.0021%,1.5145%,0.4568%,,,
$26.15,-1.0179%,0.0108%,0.0042%,1.0409%,0.6449%,,,
$26.44,1.1159%,0.0119%,0.0048%,1.0929%,0.6946%,,,
$26.44,0.0000%,0.0000%,0.0055%,0.0230%,0.7428%,,,
$26.38,-0.2287%,0.0006%,0.0050%,0.2517%,0.7058%,,,
$26.23,-0.5577%,0.0034%,0.0046%,0.5806%,0.6759%,,,
$26.31,0.2956%,0.0007%,0.0045%,0.2727%,0.6684%,,,
$26.31,0.0000%,0.0000%,0.0041%,0.0230%,0.6424%,,,
$26.31,0.0000%,0.0000%,0.0038%,0.0230%,0.6127%,,,
$26.36,0.1639%,0.0002%,0.0034%,0.1409%,0.5853%,,,
$26.33,-0.0983%,0.0001%,0.0032%,0.1212%,0.5617%,,,
$26.51,0.6859%,0.0044%,0.0029%,0.6630%,0.5396%,,,
$26.51,0.0000%,0.0000%,0.0031%,0.0230%,0.5572%,,,
$26.48,-0.0977%,0.0001%,0.0029%,0.1206%,0.5341%,,,
$26.23,-0.9823%,0.0101%,0.0026%,1.0053%,0.5142%,,,
$26.21,-0.0658%,0.0001%,0.0034%,0.0888%,0.5847%,,,
$26.21,0.0000%,0.0000%,0.0031%,0.0230%,0.5601%,,,
$26.21,0.0000%,0.0000%,0.0029%,0.0230%,0.5368%,,,
$26.28,0.2631%,0.0006%,0.0027%,0.2401%,0.5154%,,,
$26.41,0.4914%,0.0022%,0.0025%,0.4684%,0.5012%,,,
$26.11,-1.1504%,0.0138%,0.0025%,1.1733%,0.5041%,,,
$26.11,0.0000%,0.0000%,0.0037%,0.0230%,0.6065%,,,
$26.11,0.0000%,0.0000%,0.0034%,0.0230%,0.5796%,,,
$25.73,-1.4317%,0.0212%,0.0031%,1.4546%,0.5548%,,,
$25.82,0.3348%,0.0010%,0.0049%,0.3118%,0.6974%,,,
